Orig Hotspot Rank,Nfrag,Min,Ave,Orig,Hotspot Cluster,N_Heavy_Atoms,N_BBone_Atoms,PDB_SASA,Excl_SASA,PDB_HS_SASA,Excl_HS_SASA,Adj_PDB_SASA,Adj_PDB_HS_SASA,Relative_Adj_SASA,MinDist,MaxDist,AvgDist,MidDist,Vol,Excl_Vol,NAdj (Hotspots in Cluster),Sum_GFE,Sum_Min_GFE,Sum_PDB_SASA,Sum_PDB_HS_SASA,Sum_Excl_SASA,Sum_Excl_HS_SASA,Sum_NFrag,Sum_Adj_N_Atoms,Sum_N_BBone_Atoms,Sum_Vol,Sum_Excl_Vol,Mean_GFE,Mean_Min_GFE,Mean_PDB_SASA,Mean_PDB_HS_SASA,Mean_Excl_SASA,Mean_Excl_HS_SASA,Mean_N_Fragments,Mean_N_Heavy_Atoms,Mean_N_BBone_Atoms,Mean_Vol,Mean_Excl_Vol,Min_PDB_SASA,Min_PDB_HS_SASA,Min_Excl_SASA,Min_Excl_HS_SASA,Max_Vol,Max_Excl_Vol,Expt,System,Protein,Decision_fn,Rank
5,2,-3.16,-2.615,-3.16,"{92, 5}",0,0,0,62.941,34.277,37.67,40.918,385.779,0.106,5.186,5.186,5.186,5.186,106.523,256.915,2,-5.23,-6.32,0,65.599,177.694,118.316,4,0,0,210.665,514.517,-2.615,-3.16,0,32.8,88.847,59.158,2,0,0,105.332,257.259,0,31.322,62.941,37.67,106.523,257.602,True,cdk2_active,CDK2 Active,1.095,1
92,2,-3.16,-2.615,-2.07,"{92, 5}",0,0,0,114.753,31.322,80.646,40.918,385.779,0.106,5.186,5.186,5.186,5.186,104.142,257.602,2,-5.23,-6.32,0,65.599,177.694,118.316,4,0,0,210.665,514.517,-2.615,-3.16,0,32.8,88.847,59.158,2,0,0,105.332,257.259,0,31.322,62.941,37.67,106.523,257.602,True,cdk2_active,CDK2 Active,1,2
1,5,-3.71,-2.682,-3.71,"{65, 1, 78, 28, 63}",4,0,1.448,29.194,0.165,14.355,297.14,1080.604,0.275,7.189,11.529,9.848,11.234,52.006,175.85,5,-13.41,-18.55,65.982,319.102,300.323,895.61,29,6,0,447.892,1729.865,-2.682,-3.71,13.196,63.82,60.065,179.122,5.8,1.2,0,89.578,345.973,0,0.165,29.194,14.355,107.129,455.103,False,cdk2_active,CDK2 Active,0.946,3
65,6,-3.71,-2.637,-2.38,"{1, 65, 72, 78, 19, 63}",1,0,13.476,79.935,26.043,125.701,334.05,1066.164,0.313,5.526,10.949,7.756,7.293,93.052,234.596,6,-15.82,-20.4,88.967,480.705,374.859,1308.715,36,7,0,546.391,2200.651,-2.637,-3.4,14.828,80.117,62.477,218.119,6,1.167,0,91.065,366.775,0,0.165,29.194,14.355,106.376,492.049,True,cdk2_active,CDK2 Active,0.792,4
39,5,-2.64,-2.49,-2.58,"{70, 39, 52, 60, 31}",6,0,14.146,114.41,41,209.169,288.88,976.16,0.296,5.834,10.251,8.235,8.525,42.664,324.241,5,-12.45,-14.47,65.706,363.409,400.19,1172.456,29,12,0,418.768,1932.171,-2.49,-2.894,13.141,72.682,80.038,234.491,5.8,2.4,0,83.754,386.434,0,2.179,0,90.63,109.051,507.763,False,cdk2_active,CDK2 Active,0.478,5
78,7,-3.71,-2.577,-2.23,"{65, 1, 72, 78, 80, 19, 63}",1,0,51.058,61.722,71.743,182.076,481.995,1309.449,0.368,5.124,11.529,8.077,8.949,94.292,415.323,7,-18.04,-22.82,88.967,628.65,438.514,1623.258,40,7,0,655.114,2631.35,-2.577,-3.26,12.71,89.807,62.645,231.894,5.714,1,0,93.588,375.907,0,0.165,29.194,14.355,108.723,492.049,True,cdk2_active,CDK2 Active,0.346,6
60,7,-2.58,-2.334,-2.42,"{39, 80, 52, 84, 86, 60, 62}",3,0,8.025,68.369,2.179,90.63,699.198,1664.544,0.42,7.974,10.744,9.626,10.194,72.877,341.587,7,-16.34,-18.61,22.171,701.139,547.331,1928.714,34,9,0,652.478,2974.732,-2.334,-2.659,3.167,100.163,78.19,275.531,4.857,1.286,0,93.211,424.962,0,2.179,0,90.63,108.723,507.763,False,cdk2_active,CDK2 Active,0.243,7
52,7,-3.65,-2.601,-2.48,"{2, 70, 39, 52, 86, 60, 31}",0,0,0,0,90.278,281.407,479.42,1455.598,0.329,6.531,10.206,8.912,9.076,105.067,507.763,7,-18.21,-20.6,65.706,553.95,669.962,1747.081,36,12,0,636.207,2713.458,-2.601,-2.943,9.387,79.136,95.709,249.583,5.143,1.714,0,90.887,387.637,0,2.179,0,90.63,109.504,507.763,False,cdk2_active,CDK2 Active,0.014,8
19,6,-2.78,-2.452,-2.78,"{65, 72, 77, 78, 19, 20}",1,0,22.985,59.347,107.339,271.344,420.951,1095.265,0.384,4.377,11.788,7.863,7.563,99.252,427.73,6,-14.71,-18.54,87.519,573.014,448.467,1435.267,32,3,0,604.675,2255.148,-2.452,-3.09,14.587,95.502,74.745,239.211,5.333,0.5,0,100.779,375.858,0,26.043,46.462,125.701,111.502,492.049,True,cdk2_active,CDK2 Active,-0.046,9
41,5,-2.58,-2.418,-2.58,"{64, 41, 42, 82, 61}",1,0,25.424,84.377,83.187,194.424,342.945,844.447,0.406,4.184,9.506,6.905,8.134,100.034,371.058,5,-12.09,-13.92,25.424,501.795,258.816,1344.455,28,1,0,524.391,2230.991,-2.418,-2.784,5.085,100.359,51.763,268.891,5.6,0.2,0,104.878,446.198,0,83.187,3.279,194.424,108.876,491.128,False,cdk2_active,CDK2 Active,-0.053,10
28,4,-3.71,-2.752,-2.68,"{88, 1, 28, 46}",0,0,0,31.273,85.776,202.257,361.384,935.99,0.386,7.997,10.147,9.195,9.441,107.129,448.993,4,-11.01,-12.83,1.448,382.572,231.637,911.332,20,4,0,376.672,1505.62,-2.752,-3.208,0.362,95.643,57.909,227.833,5,1,0,94.168,376.405,0,0.165,29.194,14.355,111.331,475.589,False,cdk2_active,CDK2 Active,-0.166,11
22,5,-2.95,-2.642,-2.73,"{69, 13, 46, 22, 27}",0,0,0,117.26,51.8,118.415,474.746,1055.157,0.45,7.129,8.503,7.844,8.163,104.478,270.209,5,-13.21,-14.31,58.576,526.312,636.457,1347.319,28,5,4,485.513,1888.908,-2.642,-2.862,11.715,105.262,127.291,269.464,5.6,1,0.8,97.103,377.782,0,51.8,117.26,118.415,106.206,451.252,False,cdk2_active,CDK2 Active,-0.21,12
64,6,-3.09,-2.53,-2.4,"{64, 6, 41, 42, 82, 61}",0,0,0,44.043,108.08,284.305,452.641,1022.752,0.443,4.025,11.677,6.997,5.788,104.696,482.024,6,-15.18,-17.01,25.424,625.43,317.016,1657.036,32,1,0,628.38,2657.118,-2.53,-2.835,4.237,104.238,52.836,276.173,5.333,0.167,0,104.73,442.853,0,83.187,3.279,194.424,108.876,491.128,False,cdk2_active,CDK2 Active,-0.221,13
13,5,-2.95,-2.56,-2.95,"{69, 13, 22, 23, 91}",0,0,0,149.826,108.108,305.33,446.706,1111.217,0.402,7.129,8.708,7.927,8.1,99.876,365.238,5,-12.8,-14.75,30.947,467.042,444.191,1251.374,28,4,3,486.827,1940.238,-2.56,-2.95,6.189,93.408,88.838,250.275,5.6,0.8,0.6,97.365,388.048,0,51.8,0,118.415,107.687,515.342,False,cdk2_active,CDK2 Active,-0.236,14
72,5,-2.78,-2.422,-2.31,"{65, 72, 78, 19, 63}",0,0,0,46.462,140.04,344.018,333.884,865.869,0.386,4.377,11.837,7.29,7.823,106.376,492.049,5,-12.11,-16.69,87.519,480.54,345.665,1294.36,31,3,0,494.385,2024.801,-2.422,-3.338,17.504,96.108,69.133,258.872,6.2,0.6,0,98.877,404.96,0,26.043,46.462,125.701,106.376,492.049,False,cdk2_active,CDK2 Active,-0.26,15
2,4,-3.65,-2.77,-3.65,"{32, 2, 52, 71}",0,0,0,95.237,55.149,197.177,336.494,844.458,0.398,7.163,9.076,8.15,8.212,109.504,348.54,4,-11.08,-14.6,27.3,389.889,161.531,1108.259,19,1,0,424.034,1801.675,-2.77,-3.65,6.825,97.472,40.383,277.065,4.75,0.25,0,106.008,450.419,0,55.149,0,197.177,110.216,507.763,False,cdk2_active,CDK2 Active,-0.307,16
4,8,-3.52,-2.694,-3.52,"{4, 37, 38, 40, 43, 16, 51, 56}",1,0,19.42,64.59,62.691,225.733,702.387,1581.41,0.444,4.495,11.254,8.791,9.117,97.618,425.288,8,-21.55,-28.16,118.112,875.424,434.069,2481.008,46,5,0,833.134,3590.974,-2.694,-3.52,14.764,109.428,54.259,310.126,5.75,0.625,0,104.142,448.872,0,62.691,0,225.733,113.074,523.599,False,cdk2_active,CDK2 Active,-0.32,17
46,6,-2.73,-2.425,-2.52,"{69, 46, 81, 22, 88, 28}",0,0,0,120.85,136.816,302.57,544.04,1194.661,0.455,4.023,10.147,7.504,7.583,106.206,405.188,6,-14.55,-17.7,30.947,678.569,583.63,1684.291,32,4,3,608.791,2464.185,-2.425,-2.95,5.158,113.095,97.272,280.715,5.333,0.667,0.5,101.465,410.697,0,51.8,31.273,118.415,111.331,475.589,False,cdk2_active,CDK2 Active,-0.384,18
86,3,-2.48,-2.337,-2.11,"{86, 52, 60}",0,0,0,174.535,135.392,377.448,227.848,722.723,0.315,8.539,8.938,8.738,8.938,107.935,432.747,3,-7.01,-8.71,8.025,227.849,242.904,749.485,17,3,0,285.879,1282.097,-2.337,-2.903,2.675,75.95,80.968,249.828,5.667,1,0,95.293,427.366,0,2.179,0,90.63,107.935,507.763,False,cdk2_active,CDK2 Active,-0.409,19
63,7,-3.71,-2.574,-2.41,"{65, 1, 72, 78, 80, 20, 63}",0,0,0,98.199,135.375,371.221,555.433,1458.023,0.381,9.769,11.837,10.891,10.949,101.413,455.103,7,-18.02,-22.82,65.982,626.466,496.721,1606.297,38,6,0,656.063,2512.358,-2.574,-3.26,9.426,89.495,70.96,229.471,5.429,0.857,0,93.723,358.908,0,0.165,29.194,14.355,108.723,492.049,False,cdk2_active,CDK2 Active,-0.416,20
61,6,-3.09,-2.593,-2.42,"{64, 6, 41, 42, 47, 61}",0,0,0,3.279,90.928,269.869,445.253,911.21,0.489,5.788,11.129,7.591,6.497,108.876,488.274,6,-15.56,-17.52,25.424,690.903,350.459,1801.964,31,1,0,636.428,2692.687,-2.593,-2.92,4.237,115.151,58.41,300.327,5.167,0.167,0,106.071,448.781,0,83.187,3.279,194.424,112.994,491.128,False,cdk2_active,CDK2 Active,-0.456,21
42,5,-2.58,-2.418,-2.55,"{64, 41, 42, 82, 61}",0,0,0,80.156,121.889,387.478,342.945,844.447,0.406,4.025,9.854,7.689,8.742,105.839,491.128,5,-12.09,-13.92,25.424,501.795,258.816,1344.455,28,1,0,524.391,2230.991,-2.418,-2.784,5.085,100.359,51.763,268.891,5.6,0.2,0,104.878,446.198,0,83.187,3.279,194.424,108.876,491.128,False,cdk2_active,CDK2 Active,-0.485,22
70,5,-2.8,-2.566,-2.33,"{70, 39, 17, 52, 31}",3,0,43.535,122.41,101.757,269.342,430.028,951.851,0.452,5.696,10.754,8.122,10.206,89.109,366.134,5,-12.83,-14.69,57.681,520.184,406.516,1476.763,27,9,0,455.555,2061.967,-2.566,-2.938,11.536,104.037,81.303,295.353,5.4,1.8,0,91.111,412.393,0,41,0,209.169,109.664,507.763,False,cdk2_active,CDK2 Active,-0.509,23
37,7,-3.52,-2.691,-2.59,"{4, 37, 71, 40, 43, 16, 51}",0,0,0,64.411,92.749,270.516,641.657,1471.937,0.436,4.495,11.785,8.384,9.849,106.675,447.776,7,-18.84,-24.77,105.218,746.732,289.298,2240.206,40,5,0,727.246,3249.274,-2.691,-3.539,15.031,106.676,41.328,320.029,5.714,0.714,0,103.892,464.182,0,62.691,0,225.733,113.074,523.599,False,cdk2_active,CDK2 Active,-0.515,24
